Username,Retweets,Favourites,Post,Links,Date Posted
theaveragevoter,6,19,"Kobe Bryant Insane Tribute Lambo Up For Sale For $170,000
https://t.co/huDCpOMjDa",Wed Feb 19 10:35:55 SGT 2020,
cheffrankbrown,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:54 SGT 2020,
Giggsy11united,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:53 SGT 2020,
missxmourad,257,844,"Dr. Dre pays homage to Kobe Bryant ? ?? 

https://t.co/u45sFthZFt",Wed Feb 19 10:35:47 SGT 2020,
glitteryoobie,7349,33728,El tema no es si es correcto sacar el tema de la violación de Kobe Bryant ahora que ha muerto. El tema es que haya tenido que morir para que gente como yo nos enterasemos de que era un violador y que haya vivido con tal impunidad.,Wed Feb 19 10:35:42 SGT 2020,
Th3BlackOJ,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:40 SGT 2020,
Rabbitb1,0,0,I still can't believe Kobe Bryant is gone...????,Wed Feb 19 10:35:36 SGT 2020,
janellequade,0,0,"Pretty Ricky, Ricky Martin, Martin Lawrence, Lawrence Taylor, Taylor Swift, Taylor Made, Made in China, Blacc Chyna, Black Mamba, Baby Mama, Lady Gaga, wait, Rihanna ??",Wed Feb 19 10:35:32 SGT 2020,
Daniel_Sandwich,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:35:20 SGT 2020,
HettyNBCLA,1,1,Check your email. Notifications to Kobe & Gianna Bryant’s Celebration of Life are coming in. If you are able to purchase tickets we’d love to hear from you. Message me or our @NBCLA team. https://t.co/tXrzoCWhDk,Wed Feb 19 10:35:13 SGT 2020,
Queen_Berry94,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:12 SGT 2020,
MikezAFC_,0,0,"Damn, Kobe Bryant ??",Wed Feb 19 10:35:11 SGT 2020,
yatyinsoun,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:35:10 SGT 2020,
Cestraiena,898,4648,"Legends come in pairs but we call them rivals 

Messi $ Ronaldo

Kobe Bryant $ Shaw O’Neil 

Roger Federer $ Rafael nadal 

Dwayne Johnson $ vin diesel 

Nicki Minaj $ Cardi B

Wizkid $ Davido 

Add yours",Wed Feb 19 10:35:08 SGT 2020,
YoFavBallPlayer,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:35:06 SGT 2020,
Vicky_Cecret,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:04 SGT 2020,
MD_Dfenders,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:35:04 SGT 2020,
spark_radio_net,0,0,Winning takes precedence over all. There's no gray area. No almost. – Kobe Bryant,Wed Feb 19 10:35:02 SGT 2020,
JJHoneyDip,495,1961,"17 years ago today, prime Kobe Bryant erupts for 52 points and posterizes Yao Ming with a baseline tomahawk jam.

It was his 6th consecutive game with at least 40 and his 10th straight with at least 35. https://t.co/WVaUouaXSL",Wed Feb 19 10:34:59 SGT 2020,
DatDudeJeremy,0,0,"“Until you have to pick up that cross that you can’t carry and He picks it up for you and carries you AND the cross, then you know God is Great.” 
- Kobe Bryant ??",Wed Feb 19 10:34:55 SGT 2020,
Nelly_lubeya,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:48 SGT 2020,
xKRAYneC,495,1961,"17 years ago today, prime Kobe Bryant erupts for 52 points and posterizes Yao Ming with a baseline tomahawk jam.

It was his 6th consecutive game with at least 40 and his 10th straight with at least 35. https://t.co/WVaUouaXSL",Wed Feb 19 10:34:47 SGT 2020,
Itsonly1key,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:45 SGT 2020,
PrinceTayyy,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:44 SGT 2020,
ApizLiverpool,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:34:43 SGT 2020,
Jakethesnakee11,603,3483,"Kobe Bryant coaching up GiGi’s team ?  

 https://t.co/nCSpRlq4Fk",Wed Feb 19 10:34:43 SGT 2020,
haikl01,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:34:41 SGT 2020,
AxtonZo,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:34:40 SGT 2020,
jonathan9g4,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:39 SGT 2020,
WNurfakhruddin,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:34:37 SGT 2020,
sade0x,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:30 SGT 2020,
nosowrld,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:29 SGT 2020,
jdaniels__13,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:34:22 SGT 2020,
raj_young_money,898,4648,"Legends come in pairs but we call them rivals 

Messi $ Ronaldo

Kobe Bryant $ Shaw O’Neil 

Roger Federer $ Rafael nadal 

Dwayne Johnson $ vin diesel 

Nicki Minaj $ Cardi B

Wizkid $ Davido 

Add yours",Wed Feb 19 10:34:13 SGT 2020,
Hostle81,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:33:57 SGT 2020,
HigherLevel_C,1701,9873,A few bars from the freestyle @SHAQ put out to honor his friend Kobe Bryant ?? https://t.co/t6Tl2fI9Oc,Wed Feb 19 10:33:47 SGT 2020,
zorenamig,0,0,KOBE BRYANT TRIBUTE - I DID IT MY WAY *EMOTIONAL* https://t.co/cY5e1PlQUs via @YouTube,Wed Feb 19 10:33:46 SGT 2020,
austinboydohye1,35203,86883,"Dr. Dre delivers an epic tribute to Kobe Bryant. 

? @GibsonHazard | @Jackson_Bannon https://t.co/o0Id018aEs",Wed Feb 19 10:33:41 SGT 2020,
Noctwl,1,0,"me: kobe bryant dans son wati hélicoptère
@Noctwl : avec sa wati fille",Wed Feb 19 10:33:37 SGT 2020,
allday_ajking,495,1961,"17 years ago today, prime Kobe Bryant erupts for 52 points and posterizes Yao Ming with a baseline tomahawk jam.

It was his 6th consecutive game with at least 40 and his 10th straight with at least 35. https://t.co/WVaUouaXSL",Wed Feb 19 10:33:36 SGT 2020,
coco_bawa,0,0,"Legends come in pairs but we call them rivals 

Messi $ Ronaldo

Kobe Bryant $ Shaw O’Neil 

Roger Federer $ Rafael nadal 

Dwayne Johnson $ vin diesel 

Nicki Minaj $ Cardi B

Wizkid $ Davido 

Add yours",Wed Feb 19 10:33:35 SGT 2020,
LRaiderJoeyV,458,2269,"From Kobe Bryant. The Mamba Mentality. How I Play.
?????? https://t.co/52TWt9U3Vc",Wed Feb 19 10:33:23 SGT 2020,
nanajafryy,331,442,"Kobe Bryant. Abam Bocey. Ashraf Sinclairs.

I think 2020 is trying to tell us something.

To put things into perspective - while we are busy chasing our dreams, may we never forget to appreciate our loved ones.

Because tomorrow is not promised to us.",Wed Feb 19 10:33:23 SGT 2020,
cwhite94420,5852,43859,".@dwyanewade and @alleniverson shared a heartfelt moment after the NBA All-Star Game's tribute to Kobe Bryant ?

(via coachjhoward/Instagram) https://t.co/gD4JJMfRJd",Wed Feb 19 10:33:16 SGT 2020,
